,VIC,NSW,QLD,WA,SA,TAS,ACT,NT,TOTAL
Dec 9,"1,217",417,0,1,7,0,8,5,"1,651"
Dec 8,"1,296",395,2,0,1,0,3,1,"1,703"
Dec 7,"1,180",251,1,0,4,0,8,2,"1,441"
Dec 6,"1,060",203,3,0,3,0,3,2,"1,279"
Dec 5,966,281,7,0,6,0,7,0,"1,263"
Dec 4,"1,349",323,6,0,5,0,4,1,"1,691"
Dec 3,"1,175",334,6,1,4,0,8,1,"1,525"
Dec 2,"1,409",264,3,0,19,0,4,3,"1,706"
Dec 1,"1,163",242,3,0,2,1,6,0,"1,415"
Nov 30,913,175,2,0,0,0,7,1,"1,097"
Nov 29,999,144,5,0,1,0,7,4,"1,160"
Nov 28,"1,038",185,3,-1,0,0,7,2,"1,234"
Nov 27,"1,233",232,1,0,3,0,8,1,"1,477"
Nov 26,"1,355",257,-1,0,2,0,8,0,"1,621"
Nov 25,"1,246",273,2,1,4,0,15,9,"1,543"
Nov 24,"1,188",245,2,0,0,0,19,3,"1,453"
Nov 23,813,166,1,0,0,0,11,4,"1,003"
Nov 22,"1,016",176,0,1,0,1,16,1,"1,206"
Nov 21,"1,264",175,0,1,0,0,13,11,"1,467"
Nov 20,"1,167",178,0,1,0,0,17,1,"1,360"
Nov 19,"1,264",214,1,1,1,0,25,1,"1,499"
Nov 18,986,260,1,1,0,0,6,9,"1,279"
Nov 17,983,228,0,0,0,0,12,#REF!,"1,226"
Nov 16,778,210,1,3,1,0,10,5,"1,010"
Nov 15,838,163,3,1,0,1,15,0,"1,016"
Nov 14,886,193,0,0,0,0,11,0,"1,094"
Nov 13,"1,208",249,-3,0,1,0,15,0,"1,466"
Nov 12,"1,101",280,4,0,1,0,9,0,"1,401"
Nov 11,"1,289",254,3,0,0,0,9,0,"1,555"
Nov 10,979,210,3,0,0,0,18,1,"1,202"
Nov 9,"1,053",219,1,0,0,0,13,1,"1,292"
Nov 8,"1,087",171,0,0,0,0,13,0,"1,271"
Nov 7,"1,126",237,3,0,0,0,18,0,"1,379"
Nov 6,"1,248",266,1,0,0,0,6,2,"1,535"
Nov 5,"1,330",241,2,0,0,0,13,1,"1,580"
Nov 4,"1,213",308,3,0,0,0,15,1,"1,538"
Nov 3,909,187,-1,0,0,0,8,0,"1,110"
Nov 2,956,171,0,0,0,0,5,0,"1,135"
Nov 1,"1,437",129,1,0,0,0,7,0,"1,572"
Oct 31,930,166,0,0,0,0,9,0,"1,103"
Oct 30,"1,331",225,0,0,0,0,10,0,"1,565"
Oct 29,"1,621",253,2,0,0,0,8,0,"1,886"
Oct 28,"1,844",282,1,0,0,0,10,0,"2,135"
Oct 27,"1,447",295,1,0,0,0,12,0,"1,753"
Oct 26,"1,499",272,3,0,0,0,9,0,"1,786"
Oct 25,"1,389",285,0,0,0,0,9,0,"1,683"
Oct 24,"1,877",288,0,0,1,0,24,0,"2,175"
Oct 23,"1,546",313,0,0,0,0,13,0,"1,883"
Oct 22,"2,189",339,5,0,0,0,28,0,"2,546"
Oct 21,"2,153",358,5,0,1,0,24,0,"2,545"
Oct 20,"1,819",279,1,0,0,0,24,0,"2,123"
Oct 19,"1,722",265,0,0,1,0,17,0,"2,012"
Oct 18,"1,852",259,0,0,0,0,33,0,"2,128"
Oct 17,"1,769",300,0,0,0,0,20,0,"2,102"
Oct 16,"1,967",318,2,1,1,0,35,3,"2,312"
Oct 15,"2,159",390,2,0,0,0,46,0,"2,586"
Oct 14,"2,243",398,0,0,0,1,51,1,"2,689"
Oct 13,"1,569",441,0,0,0,0,28,5,"2,066"
Oct 12,"1,428",347,4,1,1,0,32,1,"1,810"
Oct 11,"1,586",493,1,0,3,0,30,1,"2,116"
Oct 10,"1,872",466,3,0,1,0,25,0,"2,372"
Oct 9,"1,923",577,3,0,1,0,40,1,"2,530"
Oct 8,"1,823",645,0,0,1,0,41,0,"2,509"
Oct 7,"1,602",568,5,0,0,0,28,1,"2,217"
Oct 6,"1,413",580,3,0,0,0,33,0,"2,024"
Oct 5,"1,757",597,2,1,1,0,28,0,"2,391"
Oct 4,"1,366",611,3,10,1,0,38,0,"2,019"
Oct 3,"1,379",654,1,3,1,1,52,0,"2,077"
Oct 2,"1,285",802,3,0,1,0,52,0,"2,143"
Oct 1,"1,131",859,4,0,2,0,31,1,"2,049"
Sep 30,"1,429",933,6,0,0,0,22,1,"2,400"
Sep 29,929,859,1,0,0,0,13,0,"1,811"
Sep 28,"1,008",852,6,0,0,0,19,1,"1,880"
Sep 27,694,778,0,1,0,0,25,0,"1,492"
Sep 26,758,948,0,0,1,0,32,1,"1,733"
Sep 25,836,995,1,0,0,0,19,0,"1,864"
Sep 24,718,"1,026",0,1,0,0,16,0,"1,764"
Sep 23,745,"1,043",2,0,1,0,17,0,"1,807"
Sep 22,620,"1,021",1,0,1,0,16,2,"1,662"
Sep 21,588,"1,004",1,0,0,0,7,0,"1,609"
Sep 20,552,908,2,1,0,0,17,2,"1,472"
Sep 19,488,"1,067",0,1,0,0,15,0,"1,573"
Sep 18,529,"1,308",1,1,0,0,30,0,"1,854"
Sep 17,497,"1,270",1,2,0,0,15,0,"1,800"
Sep 16,503,"1,334",3,0,2,0,13,0,"1,857"
Sep 15,410,"1,225",1,0,0,0,22,1,"1,650"
Sep 14,438,"1,108",2,0,1,0,13,0,"1,571"
Sep 13,463,"1,238",4,0,1,0,15,0,"1,719"
Sep 12,384,"1,247",1,1,2,0,15,0,"1,650"
Sep 11,447,"1,573",8,0,1,0,24,0,"2,044"
Sep 10,333,"1,508",1,0,0,0,15,0,"1,866"
Sep 9,323,"1,384",2,1,2,0,20,0,"1,727"
Sep 8,212,"1,457",0,0,1,0,19,0,"1,690"
Sep 7,242,"1,205",0,0,7,0,11,0,"1,473"
Sep 6,245,"1,280",7,1,1,0,15,1,"1,546"
Sep 5,183,"1,459",0,0,1,0,32,0,"1,658"
Sep 4,189,"1,516",2,0,2,0,18,0,"1,741"
Sep 3,209,"1,416",0,0,2,0,12,0,"1,645"
Sep 2,174,"1,280",2,0,4,0,23,0,"1,472"
Sep 1,116,"1,102",1,0,0,0,13,0,"1,242"
Aug 31,75,"1,151",0,0,0,0,11,0,"1,239"
Aug 30,70,"1,273",1,0,0,0,13,0,"1,355"
Aug 29,92,"1,213",1,0,0,0,26,0,"1,319"
Aug 28,63,"1,026",4,2,1,0,21,1,"1,123"
Aug 27,78,875,1,0,0,0,14,1,976
Aug 26,79,"1,016",2,0,0,0,9,0,"1,111"
Aug 25,41,910,-2,20,0,0,30,0,978
Aug 24,47,745,6,0,0,0,16,0,828
Aug 23,71,803,2,1,1,0,19,0,894
Aug 22,66,824,0,0,0,0,8,0,909
Aug 21,61,820,2,0,0,0,11,0,891
Aug 20,57,636,1,1,0,0,16,0,706
Aug 19,57,674,0,0,1,0,22,0,748
Aug 18,23,627,4,1,0,0,17,0,677
Aug 17,25,438,2,0,0,0,19,0,482
Aug 16,22,475,0,2,0,0,2,1,519
Aug 15,25,411,0,0,0,0,2,0,438
Aug 14,21,463,7,0,0,0,4,0,493
Aug 13,15,384,8,0,0,0,1,0,411
Aug 12,27,343,11,0,0,0,0,0,382
Aug 11,15,345,3,0,0,0,0,0,363
Aug 10,20,356,3,0,0,0,0,0,379
Aug 9,11,284,5,0,0,0,0,0,300
Aug 8,13,261,9,0,2,0,0,0,285
Aug 7,29,315,13,0,0,0,0,0,357
Aug 6,6,286,10,0,0,1,0,1,304
Aug 5,7,262,27,1,0,0,0,0,297
Aug 4,0,232,19,0,3,0,0,0,254
Aug 3,5,201,16,0,0,0,0,0,222
Aug 2,2,207,15,1,1,0,0,1,227
Aug 1,4,239,9,0,3,0,0,0,255
Jul 31,2,211,7,0,0,0,0,0,220
Jul 30,3,172,2,0,0,0,0,0,177
Jul 29,7,238,1,6,2,0,0,5,259
Jul 28,8,176,20,1,0,0,0,0,205
Jul 27,10,175,0,2,0,0,0,0,187
Jul 26,12,150,0,0,2,0,0,0,164
Jul 25,11,141,7,0,3,0,0,0,162
Jul 24,12,159,0,0,1,0,0,1,173
Jul 23,14,135,2,0,4,0,0,0,155
Jul 22,28,124,0,0,6,0,0,0,158
Jul 21,23,112,0,2,3,0,0,0,140
Jul 20,16,79,5,8,4,0,0,0,112
Jul 19,13,100,2,1,3,0,0,0,119
Jul 18,18,109,0,0,0,0,0,0,127
Jul 17,20,117,1,1,0,0,0,0,139
Jul 16,10,98,1,0,6,0,0,1,116
Jul 15,10,67,5,0,2,0,0,1,85
Jul 14,2,99,5,0,2,0,0,0,108
